Filename,Avg_Peak_to_Peak_1st_MFCC,RMS_1st_MFCC,Spectral_Centroid_1st_MFCC,Range_Val_1st_MFCC,Max_Val_1st_MFCC,Min_Val_1st_MFCC,Avg_Peak_to_Peak_2nd_MFCC,RMS_2nd_MFCC,Spectral_Centroid_2nd_MFCC,Range_Val_2nd_MFCC,Max_Val_2nd_MFCC,Min_Val_2nd_MFCC
01-MFCC.csv,0.4419176875831713,251.61436232153343,2.5553330455277234e-17,461.200687,-45.292313,-506.493,0.2402491302078002,162.87323669282867,-4.55436663608335e-18,234.517009,220.48361,-14.033399
02-MFCC.csv,0.3690887663885578,255.01583903117347,6.6148876524831985e-18,523.550974,-65.715126,-589.2661,0.20837004702567993,150.41951435549132,9.547407001773592e-18,232.73408400000002,230.22067,-2.513414
03-MFCC.csv,0.6788368210388654,185.15898996462752,4.151886323678346e-18,549.55663,60.60338,-488.95325,0.2953670004855123,131.24764935300135,0.0,293.509845,218.80273,-74.707115
04-MFCC.csv,0.5087429215747867,268.9394888320413,-1.336654180281909e-17,512.499055,-109.973145,-622.4722,0.2709906550552327,97.00700565468094,-3.032155388932195e-18,202.410897,201.9951,-0.415797
05-MFCC.csv,0.3489556939316482,257.4736043045811,-1.1681856050427975e-06,438.60751,-134.45279,-573.0603,0.16513999957398462,205.27037181307946,-1.001033015902035e-06,248.8786569,249.42326,0.5446031
06-MFCC.csv,0.47161579388638014,199.53104341453675,3.2985764382862333e-18,523.762346,-14.797104,-538.55945,0.2516202373985537,128.6294565606591,-6.494874468373018e-18,224.69108,206.12135,-18.56973
07-MFCC.csv,0.4821921219253722,285.207094700705,4.903993548321132e-18,525.50714,-110.60651,-636.11365,0.1883627119750125,169.52403376029903,1.0815817426817334e-17,240.3313,240.3313,0.0
08-MFCC.csv,0.5721054280348369,178.0758040852769,-7.37165955313184e-06,559.0067429999999,27.711243,-531.2955,0.29918775247878515,131.24215999253158,-3.619234357805468e-06,314.062405,224.69936,-89.363045
09-MFCC.csv,0.260679233592881,267.33484307777707,-1.4219362446144179e-06,367.65652,-166.70871,-534.36523,0.1565833961809418,198.1914665507196,-5.144105464368295e-06,201.69512500000002,254.29964,52.604515
10-MFCC.csv,0.32393297359403345,197.69504271653227,-1.1096913650868254e-06,443.65091,-72.48359,-516.1345,0.20330702929516897,195.40824127430588,-3.6679954575816916e-06,268.27350275952,268.27307,-0.00043275952
100-MFCC.csv,0.3613134963791132,277.581164648748,-4.321270865391246e-06,438.0094700000001,-144.36943,-582.3789,0.16043966675136576,202.173948828333,-2.1105096227087916e-06,251.2797385,255.57121,4.2914715
101-MFCC.csv,0.4889303218583822,259.8987971251538,4.003298526452617e-18,523.7018899999999,-84.56001,-608.2619,0.18938792924713124,169.50229436871828,-3.271438581599266e-17,236.30643,236.30643,0.0
102-MFCC.csv,0.32389783480352846,302.88271930520443,-2.454142898798852e-18,418.82952000000006,-181.93658,-600.7661,0.22540266717989843,170.81221913132597,1.738128355721094e-18,273.22908959999995,272.21725,-1.0118396
103-MFCC.csv,0.6593719263729613,223.2934106479717,3.2051752026150115e-18,526.116562,29.350542,-496.76602,0.3431652502227774,119.58584300601723,-5.537520617352394e-18,314.39065,205.90707,-108.48358
104-MFCC.csv,0.48951594047027164,189.96559062521735,-9.528783108686698e-18,505.4091712,-2.3464088,-507.75558,0.2707347372854093,143.11692630792024,-4.5117683069563704e-18,206.419,206.419,0.0
